,,,,,,,,
,,,,,,,,
,,,,,,,,
KPI,AL TASNIM,,,TARGET,,,PROJECT COMBINED,
CATEGORY / KPI,Value,Target,,Value,Target,,Value,Target
,,,,,,,,
Total Incidents,10,0,,0,0,,10,0
Fatalities,0,0,,0,0,,0,0
Lost Time Injuries (LTI),0,0,,0,0,,0,0
Recordable Injuries,0,0,,0,0,,0,0
First Aid Cases,1,0,,0,0,,1,0
Near Misses,2,?LTI׳3,,2,?LTI׳3,,4,?LTI׳3
Unsafe Acts / Conditions,0,—,,0,—,,0,—
Near Miss : LTI Ratio,0.0,?3,,0.0,?3,,4.0,?3
,,,,,,,,
,,,,,,,,
Total CAPAs,9,—,,7,—,,16,—
Open CAPAs,5,0,,5,0,,10,0
Closed CAPAs,11,—,,11,—,,22,—
CAPA Closure Rate,67%,?80%,,71%,?80%,,138%,?80%
,,,,,,,,
,,,,,,,,
Total NCRs,22,—,,6,—,,28,—
Open NCRs,0,0,,0,0,,0,0
Closed NCRs,22,—,,6,—,,28,—
Critical Open,0,0,,0,0,,0,0
Major Open,0,0,,0,0,,0,0
,,,,,,,,
,,,,,,,,
Total Observations,1,—,,1,—,,2,—
Open,1,0,,1,0,,2,0
Closed,0,—,,0,—,,0,—
Overdue,1,0,,1,0,,2,0
,,,,,,,,
,,,,,,,,
Total Permits Issued,108,—,,129,—,,237,—
Open,20,—,,0,—,,20,—
Closed,64,—,,129,—,,193,—
Cancelled,8,—,,0,—,,8,—
Hot Work,48,—,,119,—,,167,—
Cold Work,19,,,119,,,138,
Excavation,12,,,5,,,17,
Lifting,8,,,0,,,8,
Confined Space,7,,,2,,,9,
Electrical,11,—,,0,—,,11,—
